comarcas_islas_id,comarcas_islas_nombre,indicadores_id,indicadores_nombre,medicion_nivel_colesterol_id,medicion_nivel_colesterol_nombre,poblacion_menor_16_anios,notas_observacion
ES709A2,Tenerife - Norte,1,Porcentaje,2,No,54.40,
ES709A2,Tenerife - Norte,1,Porcentaje,3,No sabe/No contesta,0.00,
ES709A3,Tenerife - Sur,0,Absoluto,0,Total,33863,
ES709A3,Tenerife - Sur,0,Absoluto,1,Sí,14950,
ES709A3,Tenerife - Sur,0,Absoluto,2,No,18481,
ES709A3,Tenerife - Sur,0,Absoluto,3,No sabe/No contesta,433,
ES709A3,Tenerife - Sur,1,Porcentaje,0,Total,100.00,
ES709A3,Tenerife - Sur,1,Porcentaje,1,Sí,44.10,
ES709A3,Tenerife - Sur,1,Porcentaje,2,No,54.60,
ES709A3,Tenerife - Sur,1,Porcentaje,3,No sabe/No contesta,1.30,
ES706,La Gomera,0,Absoluto,0,Total,2855,
ES706,La Gomera,0,Absoluto,1,Sí,559,Dato estimado con menos de 10 observaciones muestrales
ES706,La Gomera,0,Absoluto,2,No,2296,
ES706,La Gomera,0,Absoluto,3,No sabe/No contesta,0,
ES706,La Gomera,1,Porcentaje,0,Total,100.00,
ES706,La Gomera,1,Porcentaje,1,Sí,19.60,Dato estimado con menos de 10 observaciones muestrales
ES706,La Gomera,1,Porcentaje,2,No,80.40,
ES706,La Gomera,1,Porcentaje,3,No sabe/No contesta,0.00,
ES707,La Palma,0,Absoluto,0,Total,13505,
ES707,La Palma,0,Absoluto,1,Sí,4990,
ES707,La Palma,0,Absoluto,2,No,8205,
ES707,La Palma,0,Absoluto,3,No sabe/No contesta,309,
ES707,La Palma,1,Porcentaje,0,Total,100.00,
ES707,La Palma,1,Porcentaje,1,Sí,37.00,
ES707,La Palma,1,Porcentaje,2,No,60.80,
ES707,La Palma,1,Porcentaje,3,No sabe/No contesta,2.30,
ES703,El Hierro,0,Absoluto,0,Total,1732,
ES703,El Hierro,0,Absoluto,1,Sí,846,
ES703,El Hierro,0,Absoluto,2,No,886,
ES703,El Hierro,0,Absoluto,3,No sabe/No contesta,0,
ES703,El Hierro,1,Porcentaje,0,Total,100.00,
ES703,El Hierro,1,Porcentaje,1,Sí,48.80,
ES703,El Hierro,1,Porcentaje,2,No,51.20,
ES703,El Hierro,1,Porcentaje,3,No sabe/No contesta,0.00,
